student@fit-vm:~/Desktop/Week6/LAB03$ gcc fork2.c -o fork
student@fit-vm:~/Desktop/Week6/LAB03$ ./fork
Message from P at the 0th iteration
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S   115     546       1  0  80   0 -  2133 -      ?        00:00:00 avahi-daemon
4 S     0     547       1  0  80   0 -  2355 -      ?        00:00:00 cron
4 S     0     548       1  0  80   0 -  7144 -      ?        00:00:00 cupsd
4 S   103     550       1  0  80   0 -  2493 -      ?        00:00:01 dbus-daemon
4 S     0     554       1  0  80   0 - 137230 -     ?        00:00:02 NetworkManager
4 S     0     560       1  0  80   0 - 20459 -      ?        00:00:00 irqbalance
4 S     0     567       1  0  80   0 -  9834 -      ?        00:00:00 networkd-dispat
4 S     0     572       1  0  80   0 - 60288 -      ?        00:00:00 polkitd
4 S   104     578       1  0  80   0 - 56134 -      ?        00:00:00 rsyslogd
Message from P at the 2th iteration
4 S     0     583       1  0  80   0 - 290963 -     ?        00:00:02 snapd
4 S     0     585       1  0  80   0 - 58901 -      ?        00:00:00 switcheroo-cont
4 S     0     587       1  0  80   0 -  4176 -      ?        00:00:00 systemd-logind
4 S     0     589       1  0  80   0 - 98235 -      ?        00:00:00 udisksd
4 S     0     595       1  0  80   0 -  3422 -      ?        00:00:00 wpa_supplicant
4 S     0     601       1  0  80   0 - 114838 -     ?        00:00:00 vpnagentd
1 S   115     602     546  0  80   0 -  2088 -      ?        00:00:00 avahi-daemon
4 S     0     638       1  0  80   0 - 44600 -      ?        00:00:00 cups-browsed
4 S     7     639     548  0  80   0 -  3834 -      ?        00:00:00 dbus
4 S     0     642       1  0  80   0 - 78439 -      ?        00:00:00 ModemManager
0 S     0     666       2  0  80   0 -   624 -      ?        00:00:00 bpfilter_umh
4 S     0     775       1  0  80   0 - 29507 -      ?        00:00:00 unattended-upgr
4 S     0     777       1  0  80   0 -  3046 -      ?        00:00:00 sshd
1 S     0     788       1  0  80   0 -  3236 -      ?        00:00:00 xrdp-sesman
4 S     0     791       1  0  80   0 - 76504 -      ?        00:00:00 lightdm
1 S   128     811       1  0  80   0 -  3266 -      ?        00:00:00 xrdp
4 S   998     820       1  0  80   - - 67280 -      ?        00:00:33 netdata
4 S   120     821       1  0  80   0 - 81719 -      ?        00:00:00 whoopsie
1 S   116     822       1  0  80   0 -  2816 -      ?        00:00:00 kerneloops
1 S   116     824       1  0  80   0 -  2816 -      ?        00:00:00 kerneloops
4 S     0     827     791  0  80   0 - 233235 -     tty7     00:00:40 Xorg
4 S     0     841       1  0  80   0 -  2109 -      tty1     00:00:00 agetty
4 S   998     931     820  0  80   - - 13557 -      ?        00:01:05 apps.plugin
0 S   998     932     820  0  80   - -  1154 -      ?        00:00:00 nfacct.plugin
0 S   998     956     820  0  80   - - 13461 -      ?        00:00:03 python.d.plugin
4 S   111    1126       1  0  81   1 - 38235 -      ?        00:00:00 rtkit-daemon
1 I     0    1208       2  0  60 -20 -     0 -      ?        00:00:00 cfg80211
4 S     0    1247       1  0  80   0 - 63050 -      ?        00:00:00 upowerd
4 S   121    1353       1  0  80   0 - 61592 -      ?        00:00:00 colord
4 S     0    1358     791  0  80   0 - 40085 -      ?        00:00:00 lightdm
4 S  1001    1409       1  0  80   0 -  4780 ep_pol ?        00:00:00 systemd
5 S  1001    1410    1409  0  80   0 - 25916 -      ?        00:00:00 (sd-pam)
0 S  1001    1416    1409  0  69 -11 - 548847 poll_s ?       00:00:00 pulseaudio
0 S  1001    1418    1409  0  99   - - 146362 poll_s ?       00:00:00 tracker-miner-f
1 S  1001    1420       1  0  80   0 - 60024 -      ?        00:00:00 gnome-keyring-d
0 S  1001    1424    1409  0  80   0 -  3294 ep_pol ?        00:00:00 dbus-daemon
4 S  1001    1426    1358  0  80   0 - 47065 poll_s ?        00:00:00 gnome-session-b
0 S  1001    1431    1409  0  80   0 - 39098 poll_s ?        00:00:00 dconf-service
0 S  1001    1442    1409  0  80   0 - 59936 poll_s ?        00:00:00 gvfsd
0 S  1001    1459    1409  0  80   0 - 94586 futex_ ?        00:00:00 gvfsd-fuse
Message from P at the 3th iteration
0 S  1001    1466    1409  0  80   0 - 78500 poll_s ?        00:00:00 gvfs-udisks2-vo
0 S  1001    1474    1409  0  80   0 - 58927 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1001    1478    1409  0  80   0 - 59496 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1001    1484    1409  0  80   0 - 79190 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1001    1497    1409  0  80   0 - 58978 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1001    1503    1409  0  80   0 - 136274 poll_s ?       00:00:00 goa-daemon
0 S  1001    1530    1409  0  80   0 - 78699 poll_s ?        00:00:00 goa-identity-se
1 S  1001    1558    1426  0  80   0 -  1510 -      ?        00:00:00 ssh-agent
0 S  1001    1581    1409  0  80   0 - 76360 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1001    1586    1581  0  80   0 -  1812 ep_pol ?        00:00:00 dbus-daemon
0 S  1001    1609    1409  0  80   0 - 22517 poll_s ?        00:00:00 gnome-session-c
0 S  1001    1616    1409  0  80   0 - 172284 poll_s ?       00:00:00 gnome-session-b
0 S  1001    1636    1409  1  80   0 - 1088212 poll_s ?      00:01:32 gnome-shell
0 S  1001    1685    1636  0  80   0 - 77731 poll_s ?        00:00:00 ibus-daemon
0 S  1001    1689    1685  0  80   0 - 59134 poll_s ?        00:00:00 ibus-dconf
0 S  1001    1690    1685  0  80   0 - 68936 poll_s ?        00:00:01 ibus-extension-
0 S  1001    1694    1409  0  80   0 - 49492 poll_s ?        00:00:00 ibus-x11
0 S  1001    1697    1409  0  80   0 - 59128 poll_s ?        00:00:00 ibus-portal
0 S  1001    1705    1409  0  80   0 - 40728 poll_s ?        00:00:00 at-spi2-registr
0 S  1001    1712    1409  0  80   0 - 58901 poll_s ?        00:00:00 xdg-permission-
0 S  1001    1717    1409  0  80   0 - 145274 poll_s ?       00:00:00 gnome-shell-cal
0 S  1001    1723    1409  0  80   0 - 267542 poll_s ?       00:00:00 evolution-sourc
0 S  1001    1733    1409  0  80   0 - 209688 poll_s ?       00:00:00 evolution-calen
0 S  1001    1747    1409  0  80   0 - 168313 poll_s ?       00:00:00 evolution-addre
0 S  1001    1771    1409  0  80   0 - 649635 poll_s ?       00:00:00 gjs
0 S  1001    1772    1442  0  80   0 - 78503 poll_s ?        00:00:00 gvfsd-trash
